realtime,LeafArea,LeafWidth,LeafLength,late,plam,numberOfCells,meanCellArea,numberOfCellInCDIV,meanCellAreaInCDIV,cellAreaInCDIV,numberOfCellOutCDIV,meanCellAreaOutCDIV,cellAreaOutCDIV
66,0.0072216,0.084,0,0.0235,116,6.2366E-05,0,NaN,0,116,6.2366E-05,0.0072345,
67,0.0072216,0.084,0,0.0235,116,6.2366E-05,116,6.2366E-05,0.0072345,0,NaN,0,
68,0.0072216,0.084,0.0844,0,0.0235,116,6.2366E-05,116,6.2366E-05,0.0072345,0,NaN,0
69,0.0072216,0.084,0.0844,0,0.0235,116,6.2366E-05,116,6.2366E-05,0.0072345,0,NaN,0
70,0.0072216,0.084,0.0844,0,0.0235,116,6.2366E-05,116,6.2366E-05,0.0072345,0,NaN,0
71,0.0072216,0.084,0.0844,0,0.0235,116,6.2366E-05,116,6.2366E-05,0.0072345,0,NaN,0
72,0.0072216,0.084,0.0844,0,0.0235,116,6.2366E-05,116,6.2366E-05,0.0072345,0,NaN,0
73,0.0072216,0.084,0.0844,0,0.0235,116,6.2366E-05,116,6.2366E-05,0.0072345,0,NaN,0
74,0.0072216,0.084,0.0844,0,0.0235,116,6.2366E-05,116,6.2366E-05,0.0072345,0,NaN,0
75,0.0072216,0.084,0.0844,0,0.0235,116,6.2366E-05,116,6.2366E-05,0.0072345,0,NaN,0
76,0.0072216,0.084,0.0844,0,0.0235,116,6.2366E-05,116,6.2366E-05,0.0072345,0,NaN,0
77,0.0072216,0.084,0.0844,0,0.0235,116,6.2366E-05,116,6.2366E-05,0.0072345,0,NaN,0
78,0.0072216,0.084,0.0844,0,0.0235,116,6.2366E-05,116,6.2366E-05,0.0072345,0,NaN,0
79,0.0072216,0.084,0.0844,0,0.0235,116,6.2366E-05,116,6.2366E-05,0.0072345,0,NaN,0
80,0.0072216,0.084,0.0844,0,0.0235,116,6.2366E-05,116,6.2366E-05,0.0072345,0,NaN,0
81,0.0072216,0.084,0.0844,0,0.0235,116,6.2366E-05,116,6.2366E-05,0.0072345,0,NaN,0
82,0.0072216,0.084,0.0844,0,0.0235,116,6.2366E-05,116,6.2366E-05,0.0072345,0,NaN,0
83,0.0072216,0.084,0.0844,0,0.0235,116,6.2366E-05,116,6.2366E-05,0.0072345,0,NaN,0
84,0.0072216,0.084,0.0844,0,0.0235,116,6.2366E-05,116,6.2366E-05,0.0072345,0,NaN,0
85,0.0072216,0.084,0.0844,0,0.0235,116,6.2366E-05,116,6.2366E-05,0.0072345,0,NaN,0
86,0.0072216,0.084,0.0844,0,0.0235,116,6.2366E-05,116,6.2366E-05,0.0072345,0,NaN,0
87,0.0072216,0.084,0.0844,0,0.0235,116,6.2366E-05,116,6.2366E-05,0.0072345,0,NaN,0
88,0.0075334,0.085728,0.086278,0,0.0235,118,6.3933E-05,118,6.3933E-05,0.0075441,0,NaN,0
89,0.0078596,0.087493,0.088206,0,0.0235,118,6.6728E-05,118,6.6728E-05,0.0078739,0,NaN,0
90,0.0082008,0.089302,0.090181,0,0.0235,119,6.9028E-05,119,6.9028E-05,0.0082144,0,NaN,0
91,0.0085579,0.091151,0.092207,0,0.0235,122,7.0227E-05,122,7.0227E-05,0.0085677,0,NaN,0
92,0.0089313,0.093044,0.094284,0,0.0235,125,7.1536E-05,125,7.1536E-05,0.0089421,0,NaN,0
93,0.0093222,0.094984,0.096412,0,0.0235,126,7.4139E-05,126,7.4139E-05,0.0093415,0,NaN,0
94,0.0097314,0.096973,0.098595,0,0.0235,126,7.74E-05,126,7.74E-05,0.0097524,0,NaN,0
95,0.01016,0.099009,0.10083,0,0.0235,127,8.015E-05,127,8.015E-05,0.010179,0,NaN,0
96,0.010608,0.10109,0.10313,0,0.0235,128,8.3036E-05,128,8.3036E-05,0.010629,0,NaN,0
97,0.011077,0.10323,0.10548,0,0.0235,130,8.535E-05,130,8.535E-05,0.011095,0,NaN,0
98,0.011569,0.10541,0.1079,0,0.0235,136,8.5123E-05,136,8.5123E-05,0.011577,0,NaN,0
99,0.012083,0.10764,0.11038,0,0.0235,138,8.7699E-05,138,8.7699E-05,0.012102,0,NaN,0
100,0.012622,0.10993,0.11293,0,0.0235,142,8.9009E-05,142,8.9009E-05,0.012639,0,NaN,0
101,0.013186,0.11227,0.11553,0,0.0235,143,9.2405E-05,143,9.2405E-05,0.013214,0,NaN,0
102,0.013777,0.11467,0.11821,0,0.0235,146,9.4493E-05,146,9.4493E-05,0.013796,0,NaN,0
103,0.014396,0.11713,0.12096,0,0.0235,151,9.5412E-05,151,9.5412E-05,0.014407,0,NaN,0
104,0.015045,0.11965,0.12377,0,0.0235,157,9.5855E-05,157,9.5855E-05,0.015049,0,NaN,0
105,0.015726,0.12223,0.12667,0,0.0235,160,9.8427E-05,160,9.8427E-05,0.015748,0,NaN,0
106,0.016438,0.12487,0.12963,0,0.0235,164,0.00010037,164,0.00010037,0.01646,0,NaN,0
107,0.017179,0.1276,0.13262,0,0.0235,169,0.00010171,169,0.00010171,0.017189,0,NaN,0
108,0.017962,0.13037,0.13575,0,0.0235,179,0.0001004,179,0.0001004,0.017972,0,NaN,0
109,0.018782,0.13322,0.13895,0,0.0235,188,9.9982E-05,188,9.9982E-05,0.018797,0,NaN,0
110,0.019641,0.13612,0.14225,0,0.0235,198,9.9261E-05,198,9.9261E-05,0.019654,0,NaN,0
111,0.020543,0.1391,0.14562,0,0.0235,203,0.00010135,203,0.00010135,0.020575,0,NaN,0
112,0.021488,0.14215,0.14909,0,0.0235,210,0.00010245,210,0.00010245,0.021515,0,NaN,0
113,0.022478,0.14527,0.15266,0,0.0235,224,0.00010028,224,0.00010028,0.022462,0,NaN,0
114,0.023518,0.14847,0.15632,0,0.0235,232,0.00010142,156,0.00010011,0.015617,76,0.00010411,0.0079125
115,0.024608,0.15175,0.16007,0,0.0235,235,0.00010488,159,0.00010347,0.016451,76,0.00010783,0.0081949
116,0.025742,0.15514,0.16385,0,0.0235,238,0.00010834,162,0.00010682,0.017305,76,0.00011157,0.0084796
117,0.02694,0.15858,0.16781,0,0.0235,241,0.00011198,165,0.00011037,0.01821,76,0.00011547,0.0087761
118,0.028198,0.16211,0.17188,0,0.0235,246,0.00011477,170,0.00011262,0.019145,76,0.00011958,0.0090877
119,0.029517,0.16572,0.17605,0,0.0235,253,0.00011678,177,0.00011378,0.020138,76,0.00012377,0.0094066
120,0.030902,0.16943,0.18034,0,0.0235,257,0.00012038,181,0.00011714,0.021201,76,0.00012812,0.0097372
121,0.032355,0.17323,0.18475,0,0.0235,265,0.00012214,187,0.00011824,0.022111,78,0.00013148,0.010255
122,0.03388,0.17711,0.18928,0,0.0235,267,0.0001271,189,0.00012335,0.023312,78,0.00013618,0.010622
123,0.035481,0.18109,0.19393,0,0.0235,271,0.00013108,193,0.00012704,0.024518,78,0.00014109,0.011005
124,0.037161,0.18517,0.19871,0,0.0235,276,0.00013476,197,0.00013063,0.025734,79,0.00014507,0.01146
125,0.038925,0.18935,0.20362,0,0.0235,282,0.00013817,203,0.00013344,0.027089,79,0.00015032,0.011875
126,0.040761,0.19367,0.20855,0,0.0235,289,0.00014115,209,0.00013595,0.028414,80,0.00015472,0.012377
127,0.042704,0.19805,0.21374,0,0.0235,303,0.00014083,221,0.00013433,0.029687,82,0.00015834,0.012983
128,0.044745,0.20255,0.21906,0,0.0235,309,0.00014484,227,0.00013787,0.031297,82,0.00016414,0.013459
129,0.046888,0.20716,0.22455,0,0.0235,325,0.00014415,243,0.0001354,0.032902,82,0.00017008,0.013947
130,0.049118,0.21195,0.23004,0,0.0235,332,0.00014798,249,0.00013892,0.03459,83,0.00017515,0.014537
131,0.051481,0.21679,0.23583,0,0.0235,339,0.0001519,256,0.00014229,0.036427,83,0.00018152,0.015066
