realtime,LeafArea,LeafWidth,LeafLength,late,plam,numberOfCells,meanCellArea,numberOfCellInCDIV,meanCellAreaInCDIV,cellAreaInCDIV,numberOfCellOutCDIV,meanCellAreaOutCDIV,cellAreaOutCDIV
66,0.0072216,0.084,0,0.0235,116,6.2366e-05,0,NaN,0,116,6.2366e-05,0.0072345
67,0.0072216,0.084,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
68,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
69,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
70,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
71,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
72,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
73,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
74,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
75,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
76,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
77,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
78,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
79,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
80,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
81,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
82,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
83,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
84,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
85,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
86,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
87,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
88,0.0075334,0.085732,0.086274,0,0.0235,118,6.3929e-05,118,6.3929e-05,0.0075436,0,NaN,0
89,0.0078596,0.087501,0.0882,0,0.0235,119,6.6157e-05,119,6.6157e-05,0.0078727,0,NaN,0
90,0.0082008,0.089311,0.090174,0,0.0235,119,6.904e-05,119,6.904e-05,0.0082158,0,NaN,0
91,0.0085578,0.091164,0.092198,0,0.0235,120,7.1435e-05,120,7.1435e-05,0.0085722,0,NaN,0
92,0.0089314,0.093056,0.094276,0,0.0235,121,7.3946e-05,121,7.3946e-05,0.0089475,0,NaN,0
93,0.0093224,0.094999,0.096404,0,0.0235,121,7.7194e-05,121,7.7194e-05,0.0093404,0,NaN,0
94,0.0097316,0.096988,0.098586,0,0.0235,121,8.0583e-05,121,8.0583e-05,0.0097505,0,NaN,0
95,0.01016,0.099018,0.10083,0,0.0235,124,8.2043e-05,124,8.2043e-05,0.010173,0,NaN,0
96,0.010608,0.1011,0.10312,0,0.0235,126,8.4335e-05,126,8.4335e-05,0.010626,0,NaN,0
97,0.011077,0.10323,0.10548,0,0.0235,129,8.5969e-05,129,8.5969e-05,0.01109,0,NaN,0
98,0.011569,0.10542,0.1079,0,0.0235,133,8.7103e-05,133,8.7103e-05,0.011585,0,NaN,0
99,0.012083,0.10765,0.11038,0,0.0235,139,8.7064e-05,139,8.7064e-05,0.012102,0,NaN,0
100,0.012622,0.10994,0.11292,0,0.0235,142,8.9025e-05,142,8.9025e-05,0.012642,0,NaN,0
101,0.013187,0.11229,0.11553,0,0.0235,148,8.9216e-05,148,8.9216e-05,0.013204,0,NaN,0
102,0.013778,0.11468,0.1182,0,0.0235,151,9.1409e-05,151,9.1409e-05,0.013803,0,NaN,0
103,0.014397,0.11714,0.12095,0,0.0235,153,9.4269e-05,153,9.4269e-05,0.014423,0,NaN,0
104,0.015046,0.11966,0.12377,0,0.0235,156,9.6612e-05,156,9.6612e-05,0.015071,0,NaN,0
105,0.015726,0.12224,0.12666,0,0.0235,157,0.00010034,157,0.00010034,0.015753,0,NaN,0
106,0.016438,0.12488,0.12963,0,0.0235,174,9.4415e-05,174,9.4415e-05,0.016428,0,NaN,0
107,0.017185,0.12758,0.13267,0,0.0235,179,9.6174e-05,179,9.6174e-05,0.017215,0,NaN,0
108,0.017967,0.13035,0.1358,0,0.0235,187,9.6216e-05,187,9.6216e-05,0.017992,0,NaN,0
109,0.018788,0.13319,0.13901,0,0.0235,196,9.6061e-05,196,9.6061e-05,0.018828,0,NaN,0
110,0.019648,0.1361,0.1423,0,0.0235,203,9.6998e-05,203,9.6998e-05,0.019691,0,NaN,0
111,0.02055,0.13908,0.14568,0,0.0235,210,9.8086e-05,210,9.8086e-05,0.020598,0,NaN,0
112,0.021495,0.14213,0.14915,0,0.0235,219,9.8328e-05,219,9.8328e-05,0.021534,0,NaN,0
113,0.022486,0.14525,0.15272,0,0.0235,225,0.00010016,225,0.00010016,0.022536,0,NaN,0
114,0.023526,0.14845,0.15637,0,0.0235,235,0.00010019,154,0.0001024,0.01577,81,9.5979e-05,0.0077743
115,0.024617,0.15172,0.16013,0,0.0235,237,0.00010411,155,0.00010665,0.016531,82,9.9293e-05,0.0081421
116,0.02576,0.15507,0.16399,0,0.0235,243,0.00010616,160,0.00010805,0.017288,83,0.00010252,0.0085091
117,0.02696,0.15852,0.16795,0,0.0235,244,0.00011074,161,0.00011312,0.018212,83,0.00010613,0.0088088
118,0.028219,0.16205,0.17202,0,0.0235,248,0.00011403,164,0.00011624,0.019063,84,0.00010973,0.0092174
119,0.029529,0.1657,0.17611,0,0.0235,254,0.00011643,169,0.00011809,0.019957,85,0.00011313,0.0096159
120,0.030914,0.16941,0.1804,0,0.0235,257,0.00012054,172,0.00012222,0.021021,85,0.00011715,0.009958
121,0.032368,0.1732,0.18481,0,0.0235,264,0.0001227,178,0.00012355,0.021991,86,0.00012094,0.010401
122,0.033881,0.17712,0.18924,0,0.0235,271,0.00012513,185,0.00012506,0.023137,86,0.00012528,0.010774
123,0.035482,0.1811,0.19389,0,0.0235,275,0.00012921,189,0.00012896,0.024373,86,0.00012975,0.011158
124,0.037162,0.18518,0.19868,0,0.0235,282,0.00013188,196,0.00013078,0.025633,86,0.00013439,0.011557
125,0.03891,0.1894,0.20348,0,0.0235,291,0.00013383,204,0.0001319,0.026908,87,0.00013837,0.012038
126,0.040761,0.19368,0.20852,0,0.0235,298,0.00013689,211,0.0001342,0.028317,87,0.00014341,0.012477
127,0.042704,0.19806,0.21371,0,0.0235,307,0.00013913,220,0.0001354,0.029787,87,0.00014858,0.012926
128,0.044726,0.20262,0.21891,0,0.0235,312,0.00014353,225,0.00013952,0.031391,87,0.0001539,0.01339
129,0.046868,0.20723,0.22439,0,0.0235,324,0.00014465,236,0.00013942,0.032903,88,0.00015867,0.013963
130,0.049098,0.21201,0.22988,0,0.0235,338,0.00014522,250,0.00013845,0.034611,88,0.00016446,0.014473
131,0.051459,0.21684,0.23567,0,0.0235,348,0.00014788,260,0.00014024,0.036462,88,0.00017044,0.014999
