realtime,LeafArea,LeafWidth,LeafLength,late,plam,numberOfCells,meanCellArea,numberOfCellInCDIV,meanCellAreaInCDIV,cellAreaInCDIV,numberOfCellOutCDIV,meanCellAreaOutCDIV,cellAreaOutCDIV
66,0.0072216,0.084,0,0.0235,116,6.2366e-05,0,NaN,0,116,6.2366e-05,0.0072345
67,0.0072216,0.084,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
68,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
69,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
70,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
71,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
72,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
73,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
74,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
75,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
76,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
77,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
78,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
79,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
80,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
81,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
82,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
83,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
84,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
85,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
86,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
87,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
88,0.0075335,0.086252,0.086001,0,0.0235,120,6.285e-05,120,6.285e-05,0.007542,0,NaN,0
89,0.0078589,0.088571,0.087622,0,0.0235,120,6.5618e-05,120,6.5618e-05,0.0078742,0,NaN,0
90,0.0081988,0.090954,0.089269,0,0.0235,121,6.7879e-05,121,6.7879e-05,0.0082134,0,NaN,0
91,0.0085545,0.093403,0.090951,0,0.0235,121,7.0837e-05,121,7.0837e-05,0.0085713,0,NaN,0
92,0.0089267,0.09592,0.092668,0,0.0235,121,7.3919e-05,121,7.3919e-05,0.0089442,0,NaN,0
93,0.0093158,0.098506,0.094415,0,0.0235,125,7.4623e-05,125,7.4623e-05,0.0093279,0,NaN,0
94,0.0097233,0.10116,0.096202,0,0.0235,125,7.7954e-05,125,7.7954e-05,0.0097442,0,NaN,0
95,0.010151,0.10388,0.098046,0,0.0235,129,7.8793e-05,129,7.8793e-05,0.010164,0,NaN,0
96,0.010598,0.10668,0.099909,0,0.0235,130,8.167e-05,130,8.167e-05,0.010617,0,NaN,0
97,0.011067,0.10955,0.10183,0,0.0235,133,8.3335e-05,133,8.3335e-05,0.011084,0,NaN,0
98,0.011556,0.11251,0.10377,0,0.0235,135,8.5755e-05,135,8.5755e-05,0.011577,0,NaN,0
99,0.012068,0.11555,0.10575,0,0.0235,137,8.8256e-05,137,8.8256e-05,0.012091,0,NaN,0
100,0.012606,0.11866,0.10779,0,0.0235,139,9.0862e-05,139,9.0862e-05,0.01263,0,NaN,0
101,0.013168,0.12187,0.10986,0,0.0235,139,9.4947e-05,139,9.4947e-05,0.013198,0,NaN,0
102,0.013756,0.12517,0.11196,0,0.0235,144,9.5668e-05,144,9.5668e-05,0.013776,0,NaN,0
103,0.014371,0.12857,0.1141,0,0.0235,146,9.8621e-05,146,9.8621e-05,0.014399,0,NaN,0
104,0.015017,0.13203,0.11632,0,0.0235,151,9.9539e-05,151,9.9539e-05,0.01503,0,NaN,0
105,0.015693,0.13561,0.11855,0,0.0235,159,9.8786e-05,159,9.8786e-05,0.015707,0,NaN,0
106,0.016403,0.13928,0.12086,0,0.0235,168,9.7749e-05,168,9.7749e-05,0.016422,0,NaN,0
107,0.017146,0.14306,0.1232,0,0.0235,171,0.0001005,171,0.0001005,0.017185,0,NaN,0
108,0.017922,0.14695,0.12557,0,0.0235,178,0.0001008,178,0.0001008,0.017942,0,NaN,0
109,0.018736,0.15094,0.12799,0,0.0235,185,0.00010145,185,0.00010145,0.018768,0,NaN,0
110,0.019588,0.15505,0.13045,0,0.0235,199,9.8501e-05,199,9.8501e-05,0.019602,0,NaN,0
111,0.020481,0.15928,0.13297,0,0.0235,209,9.8092e-05,209,9.8092e-05,0.020501,0,NaN,0
112,0.021417,0.16361,0.13553,0,0.0235,216,9.9332e-05,216,9.9332e-05,0.021456,0,NaN,0
113,0.022397,0.16808,0.13815,0,0.0235,224,0.0001002,224,0.0001002,0.022445,0,NaN,0
114,0.023425,0.17266,0.14083,0,0.0235,232,0.00010119,152,0.00010295,0.015648,80,9.7847e-05,0.0078277
115,0.024503,0.17737,0.14355,0,0.0235,233,0.00010552,153,0.00010771,0.01648,80,0.00010132,0.0081057
116,0.025632,0.18222,0.14634,0,0.0235,237,0.00010839,157,0.0001102,0.017302,80,0.00010483,0.0083863
117,0.026816,0.1872,0.14918,0,0.0235,243,0.00011059,162,0.00011203,0.018149,81,0.0001077,0.0087235
118,0.028058,0.19231,0.15208,0,0.0235,250,0.00011241,169,0.00011287,0.019074,81,0.00011145,0.0090271
119,0.029366,0.19754,0.15508,0,0.0235,254,0.00011591,171,0.00011662,0.019943,83,0.00011443,0.0094978
120,0.030735,0.20294,0.15812,0,0.0235,259,0.00011896,176,0.00011915,0.02097,83,0.00011855,0.0098397
121,0.032169,0.20849,0.16122,0,0.0235,265,0.00012166,181,0.0001212,0.021938,84,0.00012265,0.010303
122,0.033672,0.2142,0.16437,0,0.0235,270,0.00012501,186,0.0001241,0.023082,84,0.00012702,0.01067
123,0.035253,0.22004,0.16762,0,0.0235,273,0.00012947,189,0.00012855,0.024295,84,0.00013153,0.011049
124,0.036909,0.22607,0.17092,0,0.0235,277,0.0001336,192,0.00013263,0.025465,85,0.00013578,0.011541
125,0.038646,0.23227,0.17428,0,0.0235,284,0.00013632,199,0.00013445,0.026756,85,0.0001407,0.011959
126,0.040472,0.23861,0.17775,0,0.0235,293,0.00013833,208,0.00013531,0.028144,85,0.00014574,0.012388
127,0.042385,0.24516,0.18126,0,0.0235,301,0.00014105,216,0.00013715,0.029623,85,0.00015096,0.012832
128,0.044391,0.25189,0.18482,0,0.0235,310,0.00014346,224,0.00013883,0.031099,86,0.00015552,0.013375
129,0.046506,0.25878,0.18853,0,0.0235,322,0.00014467,235,0.00013897,0.032658,87,0.00016006,0.013925
130,0.04872,0.26589,0.19228,0,0.0235,332,0.00014698,245,0.00014025,0.034362,87,0.00016591,0.014434
131,0.05104,0.2732,0.19608,0,0.0235,343,0.00014901,256,0.00014121,0.036149,87,0.00017195,0.01496
