realtime,LeafArea,LeafWidth,LeafLength,late,plam,numberOfCells,meanCellArea,numberOfCellInCDIV,meanCellAreaInCDIV,cellAreaInCDIV,numberOfCellOutCDIV,meanCellAreaOutCDIV,cellAreaOutCDIV
66,0.0072216,0.084,0,0.0235,116,6.2366e-05,0,NaN,0,116,6.2366e-05,0.0072345
67,0.0072216,0.084,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
68,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
69,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
70,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
71,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
72,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
73,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
74,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
75,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
76,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
77,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
78,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
79,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
80,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
81,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
82,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
83,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
84,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
85,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
86,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
87,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
88,0.007299,0.084432,0.08487,0,0.0235,119,6.1414e-05,119,6.1414e-05,0.0073083,0,NaN,0
89,0.0073767,0.084865,0.085339,0,0.0235,119,6.21e-05,119,6.21e-05,0.0073899,0,NaN,0
90,0.0074557,0.085303,0.085812,0,0.0235,119,6.2764e-05,119,6.2764e-05,0.007469,0,NaN,0
91,0.0075351,0.085741,0.086285,0,0.0235,119,6.3433e-05,119,6.3433e-05,0.0075486,0,NaN,0
92,0.0076159,0.086183,0.086766,0,0.0235,120,6.3566e-05,120,6.3566e-05,0.0076279,0,NaN,0
93,0.0076971,0.086625,0.087247,0,0.0235,120,6.426e-05,120,6.426e-05,0.0077112,0,NaN,0
94,0.0077797,0.087073,0.087732,0,0.0235,120,6.4949e-05,120,6.4949e-05,0.0077939,0,NaN,0
95,0.0078627,0.087522,0.088217,0,0.0235,120,6.5643e-05,120,6.5643e-05,0.0078772,0,NaN,0
96,0.0079474,0.087974,0.088711,0,0.0235,120,6.635e-05,120,6.635e-05,0.007962,0,NaN,0
97,0.0080326,0.088427,0.089205,0,0.0235,122,6.5934e-05,122,6.5934e-05,0.0080439,0,NaN,0
98,0.008119,0.088886,0.089702,0,0.0235,122,6.6674e-05,122,6.6674e-05,0.0081342,0,NaN,0
99,0.008206,0.089347,0.090199,0,0.0235,122,6.7388e-05,122,6.7388e-05,0.0082213,0,NaN,0
100,0.0082944,0.08981,0.090705,0,0.0235,122,6.8114e-05,122,6.8114e-05,0.00831,0,NaN,0
101,0.0083834,0.090273,0.091211,0,0.0235,122,6.8845e-05,122,6.8845e-05,0.0083991,0,NaN,0
102,0.0084738,0.090743,0.091721,0,0.0235,122,6.9588e-05,122,6.9588e-05,0.0084898,0,NaN,0
103,0.0085648,0.091215,0.09223,0,0.0235,122,7.0335e-05,122,7.0335e-05,0.0085809,0,NaN,0
104,0.0086575,0.091688,0.09275,0,0.0235,122,7.1097e-05,122,7.1097e-05,0.0086739,0,NaN,0
105,0.0087508,0.092163,0.093269,0,0.0235,122,7.1864e-05,122,7.1864e-05,0.0087674,0,NaN,0
106,0.0088454,0.092645,0.093791,0,0.0235,122,7.2641e-05,122,7.2641e-05,0.0088622,0,NaN,0
107,0.0089407,0.093128,0.094314,0,0.0235,122,7.3423e-05,122,7.3423e-05,0.0089577,0,NaN,0
108,0.0090377,0.093614,0.094846,0,0.0235,122,7.4221e-05,122,7.4221e-05,0.009055,0,NaN,0
109,0.0091354,0.0941,0.095379,0,0.0235,124,7.3785e-05,124,7.3785e-05,0.0091493,0,NaN,0
110,0.0092345,0.094593,0.095914,0,0.0235,124,7.4614e-05,124,7.4614e-05,0.0092521,0,NaN,0
111,0.0093341,0.095088,0.09645,0,0.0235,125,7.4802e-05,125,7.4802e-05,0.0093502,0,NaN,0
112,0.0094358,0.095585,0.096996,0,0.0235,125,7.5635e-05,125,7.5635e-05,0.0094543,0,NaN,0
113,0.009538,0.096083,0.097543,0,0.0235,126,7.583e-05,126,7.583e-05,0.0095546,0,NaN,0
114,0.0096417,0.096588,0.098091,0,0.0235,126,7.6671e-05,75,8.0327e-05,0.0060245,51,7.1295e-05,0.003636
115,0.0097461,0.097095,0.098641,0,0.0235,126,7.7501e-05,75,8.1329e-05,0.0060997,51,7.1871e-05,0.0036654
116,0.0098524,0.097603,0.099202,0,0.0235,127,7.7716e-05,76,8.1245e-05,0.0061746,51,7.2456e-05,0.0036953
117,0.0099594,0.098113,0.099762,0,0.0235,127,7.8575e-05,76,8.2286e-05,0.0062538,51,7.3044e-05,0.0037252
118,0.010068,0.098631,0.10033,0,0.0235,128,7.8801e-05,77,8.2221e-05,0.006331,51,7.3637e-05,0.0037555
119,0.010177,0.099151,0.10089,0,0.0235,128,7.9666e-05,77,8.3265e-05,0.0064114,51,7.4234e-05,0.0037859
120,0.010289,0.099671,0.10146,0,0.0235,128,8.0539e-05,77,8.4314e-05,0.0064921,51,7.4839e-05,0.0038168
121,0.010401,0.10019,0.10204,0,0.0235,128,8.1416e-05,77,8.5369e-05,0.0065734,51,7.5447e-05,0.0038478
122,0.010515,0.10072,0.10262,0,0.0235,128,8.2307e-05,77,8.6444e-05,0.0066562,51,7.6062e-05,0.0038791
123,0.010629,0.10125,0.1032,0,0.0235,128,8.3204e-05,77,8.7526e-05,0.0067395,51,7.6679e-05,0.0039106
124,0.010746,0.10179,0.10379,0,0.0235,128,8.4118e-05,77,8.863e-05,0.0068245,51,7.7304e-05,0.0039425
125,0.010863,0.10232,0.10438,0,0.0235,129,8.436e-05,78,8.8563e-05,0.0069079,51,7.7933e-05,0.0039746
126,0.010982,0.10286,0.10497,0,0.0235,129,8.5302e-05,78,8.9706e-05,0.0069971,51,7.8567e-05,0.0040069
127,0.011102,0.10341,0.10556,0,0.0235,129,8.6233e-05,78,9.0828e-05,0.0070846,51,7.9205e-05,0.0040395
128,0.011224,0.10395,0.10617,0,0.0235,129,8.7182e-05,78,9.1975e-05,0.007174,51,7.9853e-05,0.0040725
