realtime,LeafArea,LeafWidth,LeafLength,late,plam,numberOfCells,meanCellArea,numberOfCellInCDIV,meanCellAreaInCDIV,cellAreaInCDIV,numberOfCellOutCDIV,meanCellAreaOutCDIV,cellAreaOutCDIV
66,0.0072216,0.084,0,0.0235,116,6.2366e-05,0,NaN,0,116,6.2366e-05,0.0072345
67,0.0072216,0.084,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
68,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
69,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
70,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
71,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
72,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
73,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
74,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
75,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
76,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
77,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
78,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
79,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
80,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
81,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
82,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
83,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
84,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
85,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
86,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
87,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
88,0.007299,0.084432,0.08487,0,0.0235,117,6.2487e-05,117,6.2487e-05,0.007311,0,NaN,0
89,0.0073767,0.084865,0.08534,0,0.0235,117,6.3162e-05,117,6.3162e-05,0.00739,0,NaN,0
90,0.0074557,0.085303,0.085813,0,0.0235,117,6.3838e-05,117,6.3838e-05,0.0074691,0,NaN,0
91,0.0075351,0.085741,0.086286,0,0.0235,118,6.3956e-05,118,6.3956e-05,0.0075468,0,NaN,0
92,0.007616,0.086183,0.086768,0,0.0235,118,6.4659e-05,118,6.4659e-05,0.0076297,0,NaN,0
93,0.0076974,0.086625,0.087249,0,0.0235,118,6.535e-05,118,6.535e-05,0.0077113,0,NaN,0
94,0.00778,0.087074,0.087734,0,0.0235,119,6.5489e-05,119,6.5489e-05,0.0077932,0,NaN,0
95,0.0078631,0.087523,0.088219,0,0.0235,119,6.6196e-05,119,6.6196e-05,0.0078773,0,NaN,0
96,0.0079476,0.087975,0.088712,0,0.0235,119,6.6908e-05,119,6.6908e-05,0.007962,0,NaN,0
97,0.0080326,0.088428,0.089206,0,0.0235,119,6.7624e-05,119,6.7624e-05,0.0080473,0,NaN,0
98,0.008119,0.088888,0.089702,0,0.0235,120,6.7767e-05,120,6.7767e-05,0.008132,0,NaN,0
99,0.0082059,0.089349,0.090199,0,0.0235,120,6.8508e-05,120,6.8508e-05,0.008221,0,NaN,0
100,0.0082946,0.089812,0.090705,0,0.0235,120,6.9248e-05,120,6.9248e-05,0.0083098,0,NaN,0
101,0.0083837,0.090276,0.091211,0,0.0235,121,6.9395e-05,121,6.9395e-05,0.0083968,0,NaN,0
102,0.0084741,0.090746,0.091721,0,0.0235,122,6.9574e-05,122,6.9574e-05,0.008488,0,NaN,0
103,0.0085651,0.091218,0.09223,0,0.0235,122,7.0336e-05,122,7.0336e-05,0.008581,0,NaN,0
104,0.0086579,0.091693,0.09275,0,0.0235,122,7.1098e-05,122,7.1098e-05,0.0086739,0,NaN,0
105,0.0087512,0.092168,0.093269,0,0.0235,122,7.1864e-05,122,7.1864e-05,0.0087674,0,NaN,0
106,0.0088453,0.092647,0.093788,0,0.0235,122,7.2637e-05,122,7.2637e-05,0.0088617,0,NaN,0
107,0.0089413,0.09313,0.094318,0,0.0235,122,7.3425e-05,122,7.3425e-05,0.0089579,0,NaN,0
108,0.0090378,0.093613,0.094847,0,0.0235,122,7.4219e-05,122,7.4219e-05,0.0090547,0,NaN,0
109,0.0091358,0.094104,0.095379,0,0.0235,122,7.5023e-05,122,7.5023e-05,0.0091528,0,NaN,0
110,0.0092343,0.094596,0.09591,0,0.0235,122,7.5832e-05,122,7.5832e-05,0.0092516,0,NaN,0
111,0.0093348,0.09509,0.096453,0,0.0235,122,7.6658e-05,122,7.6658e-05,0.0093522,0,NaN,0
112,0.0094358,0.095585,0.096996,0,0.0235,122,7.7488e-05,122,7.7488e-05,0.0094535,0,NaN,0
113,0.0095384,0.096088,0.097542,0,0.0235,122,7.833e-05,122,7.833e-05,0.0095563,0,NaN,0
114,0.0096415,0.096591,0.098087,0,0.0235,122,7.9178e-05,122,7.9178e-05,0.0096597,0,NaN,0
115,0.0097467,0.097098,0.098644,0,0.0235,122,8.0042e-05,122,8.0042e-05,0.0097651,0,NaN,0
116,0.0098525,0.097605,0.0992,0,0.0235,123,8.0236e-05,123,8.0236e-05,0.009869,0,NaN,0
117,0.0099592,0.098116,0.099757,0,0.0235,126,7.915e-05,126,7.915e-05,0.0099729,0,NaN,0
118,0.010068,0.098633,0.10032,0,0.0235,127,7.9455e-05,127,7.9455e-05,0.010091,0,NaN,0
119,0.010177,0.099151,0.10088,0,0.0235,127,8.0333e-05,127,8.0333e-05,0.010202,0,NaN,0
120,0.010288,0.099673,0.10145,0,0.0235,127,8.1213e-05,127,8.1213e-05,0.010314,0,NaN,0
121,0.0104,0.1002,0.10203,0,0.0235,128,8.1443e-05,128,8.1443e-05,0.010425,0,NaN,0
122,0.010514,0.10073,0.10261,0,0.0235,129,8.1687e-05,129,8.1687e-05,0.010538,0,NaN,0
123,0.010628,0.10126,0.10318,0,0.0235,130,8.1955e-05,130,8.1955e-05,0.010654,0,NaN,0
124,0.010745,0.10179,0.10377,0,0.0235,132,8.1574e-05,132,8.1574e-05,0.010768,0,NaN,0
125,0.010862,0.10232,0.10436,0,0.0235,132,8.2503e-05,132,8.2503e-05,0.01089,0,NaN,0
126,0.01098,0.10287,0.10495,0,0.0235,132,8.3407e-05,132,8.3407e-05,0.01101,0,NaN,0
127,0.0111,0.10341,0.10554,0,0.0235,133,8.3647e-05,133,8.3647e-05,0.011125,0,NaN,0
128,0.011222,0.10396,0.10614,0,0.0235,133,8.4608e-05,133,8.4608e-05,0.011253,0,NaN,0
129,0.011345,0.10451,0.10675,0,0.0235,133,8.5535e-05,133,8.5535e-05,0.011376,0,NaN,0
130,0.01147,0.10506,0.10736,0,0.0235,134,8.5817e-05,134,8.5817e-05,0.0115,0,NaN,0
