realtime,LeafArea,LeafWidth,LeafLength,late,plam,numberOfCells,meanCellArea,numberOfCellInCDIV,meanCellAreaInCDIV,cellAreaInCDIV,numberOfCellOutCDIV,meanCellAreaOutCDIV,cellAreaOutCDIV
66,0.0072216,0.084,0,0.0235,116,6.2366e-05,0,NaN,0,116,6.2366e-05,0.0072345
67,0.0072216,0.084,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
68,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
69,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
70,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
71,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
72,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
73,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
74,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
75,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
76,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
77,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
78,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
79,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
80,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
81,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
82,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
83,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
84,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
85,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
86,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
87,0.0072216,0.084,0.0844,0,0.0235,116,6.2366e-05,116,6.2366e-05,0.0072345,0,NaN,0
88,0.0073238,0.08457,0.08502,0,0.0235,119,6.161e-05,119,6.161e-05,0.0073316,0,NaN,0
89,0.0074268,0.085142,0.08564,0,0.0235,119,6.2526e-05,119,6.2526e-05,0.0074405,0,NaN,0
90,0.0075317,0.085722,0.086265,0,0.0235,119,6.341e-05,119,6.341e-05,0.0075457,0,NaN,0
91,0.0076376,0.086304,0.086891,0,0.0235,119,6.4301e-05,119,6.4301e-05,0.0076518,0,NaN,0
92,0.007746,0.086892,0.087532,0,0.0235,119,6.5214e-05,119,6.5214e-05,0.0077605,0,NaN,0
93,0.0078553,0.087482,0.088173,0,0.0235,120,6.557e-05,120,6.557e-05,0.0078684,0,NaN,0
94,0.0079671,0.088079,0.088824,0,0.0235,120,6.6517e-05,120,6.6517e-05,0.007982,0,NaN,0
95,0.0080797,0.088677,0.089475,0,0.0235,120,6.7457e-05,120,6.7457e-05,0.0080948,0,NaN,0
96,0.0081945,0.089284,0.090134,0,0.0235,120,6.8416e-05,120,6.8416e-05,0.0082099,0,NaN,0
97,0.0083103,0.089894,0.090793,0,0.0235,120,6.9383e-05,120,6.9383e-05,0.008326,0,NaN,0
98,0.0084285,0.09051,0.09146,0,0.0235,120,7.037e-05,120,7.037e-05,0.0084444,0,NaN,0
99,0.0085486,0.091132,0.092134,0,0.0235,120,7.1373e-05,120,7.1373e-05,0.0085647,0,NaN,0
100,0.0086697,0.091757,0.092808,0,0.0235,122,7.1177e-05,122,7.1177e-05,0.0086836,0,NaN,0
101,0.0087938,0.092387,0.093498,0,0.0235,122,7.2223e-05,122,7.2223e-05,0.0088112,0,NaN,0
102,0.008919,0.093019,0.094189,0,0.0235,122,7.3251e-05,122,7.3251e-05,0.0089366,0,NaN,0
103,0.0090469,0.093659,0.094891,0,0.0235,123,7.3681e-05,123,7.3681e-05,0.0090628,0,NaN,0
104,0.0091758,0.094301,0.095593,0,0.0235,123,7.4749e-05,123,7.4749e-05,0.0091941,0,NaN,0
105,0.0093073,0.094954,0.0963,0,0.0235,124,7.519e-05,124,7.519e-05,0.0093236,0,NaN,0
106,0.0094399,0.09561,0.097008,0,0.0235,124,7.628e-05,124,7.628e-05,0.0094587,0,NaN,0
107,0.0095757,0.09627,0.097734,0,0.0235,124,7.7378e-05,124,7.7378e-05,0.0095949,0,NaN,0
108,0.0097127,0.096933,0.09846,0,0.0235,124,7.8485e-05,124,7.8485e-05,0.0097321,0,NaN,0
109,0.0098522,0.097606,0.099191,0,0.0235,125,7.8959e-05,125,7.8959e-05,0.0098699,0,NaN,0
110,0.009993,0.098283,0.099921,0,0.0235,125,8.0105e-05,125,8.0105e-05,0.010013,0,NaN,0
111,0.010137,0.098965,0.10067,0,0.0235,125,8.1262e-05,125,8.1262e-05,0.010158,0,NaN,0
112,0.010283,0.099649,0.10142,0,0.0235,127,8.1092e-05,127,8.1092e-05,0.010299,0,NaN,0
113,0.010431,0.10034,0.10218,0,0.0235,128,8.165e-05,128,8.165e-05,0.010451,0,NaN,0
114,0.010581,0.10104,0.10294,0,0.0235,129,8.2179e-05,129,8.2179e-05,0.010601,0,NaN,0
115,0.010734,0.10174,0.10371,0,0.0235,130,8.2727e-05,130,8.2727e-05,0.010755,0,NaN,0
116,0.010889,0.10245,0.10449,0,0.0235,131,8.3279e-05,131,8.3279e-05,0.01091,0,NaN,0
117,0.011046,0.10316,0.10527,0,0.0235,132,8.3846e-05,132,8.3846e-05,0.011068,0,NaN,0
118,0.011205,0.10389,0.10605,0,0.0235,133,8.441e-05,133,8.441e-05,0.011226,0,NaN,0
119,0.011368,0.10461,0.10685,0,0.0235,134,8.5e-05,134,8.5e-05,0.01139,0,NaN,0
120,0.011533,0.10534,0.10766,0,0.0235,135,8.5585e-05,135,8.5585e-05,0.011554,0,NaN,0
121,0.0117,0.10608,0.10847,0,0.0235,135,8.6854e-05,135,8.6854e-05,0.011725,0,NaN,0
122,0.011869,0.10682,0.10927,0,0.0235,135,8.8109e-05,135,8.8109e-05,0.011895,0,NaN,0
123,0.012042,0.10757,0.1101,0,0.0235,136,8.8716e-05,136,8.8716e-05,0.012065,0,NaN,0
124,0.012217,0.10832,0.11093,0,0.0235,136,9.003e-05,136,9.003e-05,0.012244,0,NaN,0
125,0.012395,0.10908,0.11177,0,0.0235,138,8.9977e-05,138,8.9977e-05,0.012417,0,NaN,0
126,0.012574,0.10985,0.1126,0,0.0235,140,8.9965e-05,140,8.9965e-05,0.012595,0,NaN,0
127,0.012759,0.11062,0.11346,0,0.0235,140,9.1335e-05,140,9.1335e-05,0.012787,0,NaN,0
128,0.012944,0.11139,0.11432,0,0.0235,140,9.2665e-05,140,9.2665e-05,0.012973,0,NaN,0
129,0.013134,0.11218,0.11519,0,0.0235,141,9.3347e-05,141,9.3347e-05,0.013162,0,NaN,0
130,0.013324,0.11297,0.11605,0,0.0235,141,9.4709e-05,141,9.4709e-05,0.013354,0,NaN,0
131,0.01352,0.11377,0.11694,0,0.0235,144,9.4025e-05,144,9.4025e-05,0.01354,0,NaN,0
