spch snapshot images,
Age (HAS),Ln Leaf Width (spch)
102.53,-2.53
102.67,-2.50
102.82,-2.59
100.15,-2.48
100.50,-2.20
101.13,-2.44
101.68,-2.07
101.93,-2.30
101.97,-2.15
102.47,-2.26
102.73,-2.13
122.13,-2.22
122.25,-2.17
122.75,-2.66
123.15,-2.35
123.55,-2.35
123.75,-2.20
124.02,-2.04
124.33,-2.40
124.45,-2.50
146.78,-2.28
147.30,-2.35
147.88,-2.45
148.08,-2.11
148.28,-2.21
150.05,-2.02
150.30,-2.50
150.47,-2.10
150.73,-2.05
151.18,-1.97
167.95,-2.02
169.53,-2.25
169.65,-2.36
170.52,-2.17
170.87,-2.21
171.57,-2.07
171.83,-2.15
172.42,-2.02
172.77,-2.21
191.73,-2.14
191.72,-1.86
192.08,-1.64
192.72,-1.68
192.98,-2.00
193.07,-1.71
193.23,-1.95
193.75,-2.10
195.82,-1.74
217.03,-1.83
216.65,-1.86
216.82,-1.94
217.05,-2.20
217.18,-1.63
218.10,-1.36
218.42,-1.22
218.87,-1.65
219.93,-1.45
239.08,-1.63
239.50,-1.22
239.70,-1.51
241.03,-2.08
241.03,-1.83
241.03,-1.04
242.22,-1.60
242.77,-1.92
243.00,-1.56
243.15,-1.51
243.37,-1.85
243.50,-1.94
262.78,-1.13
262.93,-1.28
263.17,-1.31
263.40,-1.28
263.47,-1.21
263.57,-1.33
263.73,-1.88
264.02,-2.21
264.20,-1.77
264.35,-1.45
286.87,-1.16
287.03,-1.30
287.33,-1.23
287.37,-1.02
287.65,-1.20
288.13,-1.16
288.43,-0.72
288.65,-1.00
288.77,-1.51
289.00,-1.04
311.17,-1.81
311.35,-1.06
311.57,-1.01
311.73,-1.22
311.88,-1.15
312.20,-1.16
312.38,-0.84
312.60,-1.28
312.72,-0.88
312.93,-0.83
313.13,-1.50
334.78,-1.43
334.77,-0.87
334.92,-0.78
335.20,-1.13
335.93,-0.87
336.02,-0.81
336.22,-1.09
336.42,-0.61
336.53,-1.38
336.78,-1.31
358.60,-0.90
358.78,-0.76
358.93,-0.75
359.00,-1.45
359.20,-1.49
359.52,-0.62
359.67,-0.79
359.75,-1.40
359.97,-0.89
360.12,-1.43
360.32,-0.87
406.72,-1.08
410.07,-1.33
408.20,-1.01
408.45,-0.95
408.70,-1.23
408.87,-1.14
409.32,-0.58
410.22,-0.57
410.63,0.07
430.48,0.05
430.57,-0.90
430.88,-1.14
431.28,-1.22
432.10,-0.91
431.85,-0.60
432.27,-1.04
432.42,-0.58
432.62,-1.28
433.15,-0.32
481.37,-1.19
481.62,-0.67
481.68,-0.39
481.92,-0.70
482.22,-0.41
482.48,-0.79
482.73,0.52
483.40,-0.58
483.83,-0.66
606.42,-0.61
607.00,-0.09
607.13,0.34
608.12,0.01
608.35,-0.01
608.65,-0.12
608.95,-0.09
609.75,0.27
610.12,0.51
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
